OKR Number,Other Names,Collection / Location,City / State,Country,Collection Number,Comments,KH Issue Date
KH0337,UR101,Biblioteca Museo Temple Radicati,Lima,Peru,19,,2/12/24
KH0338,UR102,Biblioteca Museo Temple Radicati,Lima,Peru,7,,2/12/24
KH0339,UR103,Biblioteca Museo Temple Radicati,Lima,Peru,8,,2/12/24
KH0340,UR104,Biblioteca Museo Temple Radicati,Lima,Peru,9a,,2/12/24
KH0341,UR105,Biblioteca Museo Temple Radicati,Lima,Peru,22,,2/12/24
KH0342,UR106,Biblioteca Museo Temple Radicati,Lima,Peru,20,,2/12/24
KH0343,UR107,Biblioteca Museo Temple Radicati,Lima,Peru,15,,2/12/24
KH0344,UR108,Biblioteca Museo Temple Radicati,Lima,Peru,23,,2/12/24
KH0345,UR109,Biblioteca Museo Temple Radicati,Lima,Peru,14,,2/12/24
KH0346,UR110,Biblioteca Museo Temple Radicati,Lima,Peru,n/a,,2/12/24
KH0347,UR111,Biblioteca Museo Temple Radicati,Lima,Peru,10,,2/12/24
KH0348,UR112,Biblioteca Museo Temple Radicati,Lima,Peru,n/a,,2/12/24
KH0349,UR113,Världskulturmuseet,Gothenburg,Sweden,1924.18.0001,Incorrect accession number in OKR; corrected to 1924.18.0001.,2/12/24
KH0350,UR114,Världskulturmuseet,Gothenburg,Sweden,1931.37.0001,Incorrect accession number in OKR; corrected to 1931.37.0001.,2/12/24
KH0351,"UR115, UR126",Världskulturmuseet,Gothenburg,Sweden,16.9.57,,2/12/24
KH0352,UR116A,Världskulturmuseet,Gothenburg,Sweden,1929.26.0157a-b,,2/12/24
KH0353,UR116B,Världskulturmuseet,Gothenburg,Sweden,1929.26.0157a-b,,2/12/24
KH0354,UR117A,Världskulturmuseet,Gothenburg,Sweden,32.7.3,,2/12/24
KH0355,UR117B,Världskulturmuseet,Gothenburg,Sweden,32.7.3,,2/12/24
KH0356,UR117C,Världskulturmuseet,Gothenburg,Sweden,32.7.3,,2/12/24
KH0357,UR117D,Världskulturmuseet,Gothenburg,Sweden,32.7.3,,2/12/24
KH0358,UR118,Världskulturmuseet,Gothenburg,Sweden,31.37.2.b,,2/12/24
KH0359,UR119,Världskulturmuseet,Gothenburg,Sweden,31.37.2.a,,2/12/24
KH0360,UR120,Världskulturmuseet,Gothenburg,Sweden,1938.45.0229,,2/12/24
KH0361,UR121,Världskulturmuseet,Gothenburg,Sweden,1938.45.231,,2/12/24
KH0362,UR122,Världskulturmuseet,Gothenburg,Sweden,1938.45.0228,,2/12/24
KH0363,UR123,Världskulturmuseet,Gothenburg,Sweden,16.9.56,,2/12/24
KH0364,UR124,Världskulturmuseet,Gothenburg,Sweden,16.9.58,,2/12/24
KH0365,UR125,Världskulturmuseet,Gothenburg,Sweden,31.37.2.c,,2/12/24
KH0366,UR127,Världskulturmuseet,Gothenburg,Sweden,30.2.16.a,,2/12/24
KH0367,UR128,Världskulturmuseet,Gothenburg,Sweden,30.2.16.c,,2/12/24
KH0368,UR129,Världskulturmuseet,Gothenburg,Sweden,30.2.16.e,,2/12/24
KH0369,UR130,Museo Chileno de Arte Precolombino,Santiago,Chile,916,,2/12/24
KH0370,UR131A,Museo Chileno de Arte Precolombino,Santiago,Chile,21163,,2/12/24
KH0371,UR131B,Museo Chileno de Arte Precolombino,Santiago,Chile,21163,,2/12/24
KH0372,UR131C,Museo Chileno de Arte Precolombino,Santiago,Chile,21163,,2/12/24
KH0373,UR132,Museo Chileno de Arte Precolombino,Santiago,Chile,CMBE 0910,,2/12/24
KH0374,UR134,Lowe Art Museum,"Miami, FL",USA,94.0064.04,,2/12/24
KH0375,UR135,Lowe Art Museum,"Miami, FL",USA,94.0064.36,,2/12/24
KH0376,UR136,Lowe Art Museum,"Miami, FL",USA,94.0064.173,,2/12/24
KH0377,UR137,Lowe Art Museum,"Miami, FL",USA,57.172.002,,2/12/24
KH0378,UR138,Lowe Art Museum,"Miami, FL",USA,61.071.000,,2/12/24
KH0379,UR139,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,00250-02,,2/12/24
KH0380,UR140,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,00270-02,,2/12/24
KH0381,UR141,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,00254-02,,2/12/24
KH0382,UR142,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,0249-02,,2/12/24
KH0383,UR143,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,00252-02,,2/12/24
KH0384,UR144,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,820,,2/12/24
KH0385,UR145,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,04591-02,,2/12/24
KH0386,UR146,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,04393-02,,2/12/24
KH0387,UR147,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,04395-02,,2/12/24
KH0388,UR148,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,03996-02,,2/12/24
KH0389,UR149,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,00253-02,,2/12/24
KH0390,UR150,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,04392-02,,2/12/24
KH0391,UR151,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,01530-02,,2/12/24
KH0392,UR152,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,04075-02,,2/12/24
KH0393,UR153,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,04396-02,,2/12/24
KH0394,UR154,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,03987-02,,2/12/24
KH0395,UR155,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,03989-02,,2/12/24
KH0396,UR156,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,TC-0142-02,,2/12/24
KH0397,UR157,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,TC-0143-02,,2/12/24
KH0398,UR158,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,TC-0141-02,,2/12/24
KH0399,UR159,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,TC-0024-02,,2/12/24
KH0400,UR160,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,04394-02,,2/12/24
KH0401,UR161,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,03991-02,,2/12/24
KH0402,UR162,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,03992-02,,2/12/24
KH0403,UR164,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,03994-02,,2/12/24
KH0404,UR165,Museo de Sitio Arturo Jiménez Borja – Puruchuco,Lima,Peru,0638/SP642 Tex 0640 (R.M.RT0638),,2/12/24
KH0405,UR166,American Museum of Natural History,"New York, NY",USA,B/8713,,2/12/24
KH0406,UR167,American Museum of Natural History,"New York, NY",USA,"41.0/1550, B/3453A","UR167 is entered twice in KHIPU_MAIN (KHIPU_ID 1000474 and KHIPU_ID 1000484).  However, only KHIPU_ID 1000474 has cord and knot data associated with it, so it is retained as  the canonical record.",2/12/24
KH0407,UR168,American Museum of Natural History,"New York, NY",USA,41.0/1551,,2/12/24
KH0408,UR169,American Museum of Natural History,"New York, NY",USA,41.2/6995,,2/12/24
KH0409,UR170,American Museum of Natural History,"New York, NY",USA,41.2/6715,,2/12/24
KH0410,UR171,American Museum of Natural History,"New York, NY",USA,41.2/6712,,2/12/24
KH0411,UR172,American Museum of Natural History,"New York, NY",USA,41.2/6711,,2/12/24
KH0412,UR173,American Museum of Natural History,"New York, NY",USA,41.2/6699,,2/12/24
KH0413,UR174,American Museum of Natural History,"New York, NY",USA,41.2/6709,,2/12/24
KH0414,UR175,American Museum of Natural History,"New York, NY",USA,41.2/6710,,2/12/24
KH0415,UR177,American Museum of Natural History,"New York, NY",USA,B/8704,,2/12/24
KH0416,UR178,American Museum of Natural History,"New York, NY",USA,B/3453A,,2/12/24
KH0417,UR179,American Museum of Natural History,"New York, NY",USA,B/3453B,,2/12/24
KH0418,UR180,American Museum of Natural History,"New York, NY",USA,B/3453C,,2/12/24
KH0419,UR181,American Museum of Natural History,"New York, NY",USA,B/3453D,,2/12/24
KH0420,UR182,American Museum of Natural History,"New York, NY",USA,B/8714A,,2/12/24
KH0421,UR183,American Museum of Natural History,"New York, NY",USA,B/8709,,2/12/24
KH0422,UR184,American Museum of Natural History,"New York, NY",USA,41.2/5785,,2/12/24
KH0423,UR185,American Museum of Natural History,"New York, NY",USA,B/8711K,,2/12/24
KH0424,UR186,American Museum of Natural History,"New York, NY",USA,B/8707,,2/12/24
KH0425,UR187,American Museum of Natural History,"New York, NY",USA,41.2/6996A,,2/12/24
KH0426,UR188,Musée du quai Branly - Jacques Chirac,Paris,France,71.1930.19.483,,2/12/24
KH0427,UR189,Musée du quai Branly - Jacques Chirac,Paris,France,71.1878.3.61,,2/12/24
KH0428,UR190,Musée du quai Branly - Jacques Chirac,Paris,France,71.1887.9.14,,2/12/24
KH0429,UR191,Musée du quai Branly - Jacques Chirac,Paris,France,71.1887.9.16,,2/12/24
KH0430,UR192,Musée du quai Branly - Jacques Chirac,Paris,France,71.1887.9.15,,2/12/24
KH0431,UR193,Ethnologisches Museum,Berlin,Germany,VA42593,,2/12/24
KH0432,UR194,Ethnologisches Museum,Berlin,Germany,VA47082,,2/12/24
KH0433,UR195,Ethnologisches Museum,Berlin,Germany,VA63040,,2/12/24
KH0434,UR196,Ethnologisches Museum,Berlin,Germany,VA42521,,2/12/24
KH0435,UR197,Ethnologisches Museum,Berlin,Germany,VA42523,,2/12/24
KH0436,UR198,Ethnologisches Museum,Berlin,Germany,VA63039,,2/12/24
KH0437,UR199,Ethnologisches Museum,Berlin,Germany,VA42532,,2/12/24
KH0438,UR200,Ethnologisches Museum,Berlin,Germany,VA42597(A),"Added parentheses to accession numbers for UR200 and UR201, since the A and B were  assigned by Urton. The actual objects have the same accession number.",2/12/24
KH0439,UR201,Ethnologisches Museum,Berlin,Germany,VA42597(B),,2/12/24
KH0440,UR202,Ethnologisches Museum,Berlin,Germany,VA42543,,2/12/24
KH0441,UR203,Ethnologisches Museum,Berlin,Germany,VA42583,,2/12/24
KH0442,UR204,Ethnologisches Museum,Berlin,Germany,VA47114c(A),"Added parentheses to accession numbers for UR204, UR205, and UR206, since the A, B, and  C were assigned by Urton. The actual objects have the same accession number.",2/12/24
KH0443,UR205,Ethnologisches Museum,Berlin,Germany,VA47114c(B),,2/12/24
KH0444,UR206,Ethnologisches Museum,Berlin,Germany,VA47114c(C),,2/12/24
KH0445,UR207,Ethnologisches Museum,Berlin,Germany,VA12179,,2/12/24
KH0446,UR208,Ethnologisches Museum,Berlin,Germany,VA42549,,2/12/24
KH0447,UR209,Ethnologisches Museum,Berlin,Germany,VA16144,,2/12/24
KH0448,UR210,Ethnologisches Museum,Berlin,Germany,VA16141(A),"Added parentheses to accession numbers for UR210 and UR211, since the A and B were  assigned by Urton. The actual objects have the same accession number.",2/12/24
KH0449,UR211,Ethnologisches Museum,Berlin,Germany,VA16141(B),,2/12/24
KH0450,UR212,Ethnologisches Museum,Berlin,Germany,VA42513,,2/12/24
KH0451,UR213,Ethnologisches Museum,Berlin,Germany,VA42508(A),"Added parentheses to accession numbers for UR213 and UR214, since the A and B were  assigned by Urton. The actual objects have the same accession number.",2/12/24
KH0452,UR214,Ethnologisches Museum,Berlin,Germany,VA42508(B),,2/12/24
KH0453,UR215,Ethnologisches Museum,Berlin,Germany,VA22574,,2/12/24
KH0454,UR216,Ethnologisches Museum,Berlin,Germany,VA42586,,2/12/24
KH0455,UR217,Ethnologisches Museum,Berlin,Germany,VA44864a,,2/12/24
KH0456,UR218,Ethnologisches Museum,Berlin,Germany,VA42559,,2/12/24
KH0457,UR219,Ethnologisches Museum,Berlin,Germany,VA47084,,2/12/24
KH0458,UR220,Ethnologisches Museum,Berlin,Germany,VA47114a,,2/12/24
KH0459,UR221,Ethnologisches Museum,Berlin,Germany,VA47114b,Incorrect accession number in OKR; corrected to VA47114b.,2/12/24
KH0460,UR222,Ethnologisches Museum,Berlin,Germany,VA47114d,,2/12/24
KH0461,UR223,Ethnologisches Museum,Berlin,Germany,VA47077,,2/12/24
KH0462,UR225,Ethnologisches Museum,Berlin,Germany,VA67259,,2/12/24
KH0463,UR226,Ethnologisches Museum,Berlin,Germany,VA42551,,2/12/24
KH0464,UR227,Ethnologisches Museum,Berlin,Germany,VA44677a(A),"Added parentheses to accession numbers for UR227 and UR228, since the A and B were  assigned by Urton. The actual objects have the same accession number.",2/12/24
KH0465,UR228,Ethnologisches Museum,Berlin,Germany,VA44677a(B),,2/12/24
KH0466,UR229,Ethnologisches Museum,Berlin,Germany,VA47092,,2/12/24
KH0467,UR230,Ethnologisches Museum,Berlin,Germany,VA42576,,2/12/24
KH0468,UR231,Ethnologisches Museum,Berlin,Germany,VA16135a & VA16135b,,2/12/24
KH0469,UR232,Ethnologisches Museum,Berlin,Germany,VA63038(A),"Added parentheses to accession numbers for UR232 and UR233, since the A and B were  assigned by Urton. The actual objects have the same accession number.",2/12/24
KH0470,UR233,Ethnologisches Museum,Berlin,Germany,VA63038(B),,2/12/24
KH0471,UR234,Ethnologisches Museum,Berlin,Germany,VA66837,,2/12/24
KH0472,UR235,Ethnologisches Museum,Berlin,Germany,VA66830,,2/12/24
KH0473,UR237,Ethnologisches Museum,Berlin,Germany,VA66834,,2/12/24
KH0474,UR238,Ethnologisches Museum,Berlin,Germany,VA47093,,2/12/24
KH0475,UR239,Ethnologisches Museum,Berlin,Germany,VA66841,,2/12/24
KH0476,UR240,Ethnologisches Museum,Berlin,Germany,VA66839,,2/12/24
KH0477,UR241,Ethnologisches Museum,Berlin,Germany,VA42594,,2/12/24
KH0478,UR242,Ethnologisches Museum,Berlin,Germany,VA47094,,2/12/24
KH0479,UR243,Ethnologisches Museum,Berlin,Germany,VA42607(A),"Added parentheses to accession numbers for UR243, UR244, UR245, and UR246, since the  A, B, C, and D were assigned by Urton. The actual objects have the same accession number.",2/12/24
KH0480,UR244,Ethnologisches Museum,Berlin,Germany,VA42607(B),,2/12/24
KH0481,UR245,Ethnologisches Museum,Berlin,Germany,VA42607(C),,2/12/24
KH0482,UR246,Ethnologisches Museum,Berlin,Germany,VA42607(D),,2/12/24
KH0483,UR247,Ethnologisches Museum,Berlin,Germany,VA42610,This khipu is a duplicate of KH0140.,2/12/24
KH0484,UR248,Ethnologisches Museum,Berlin,Germany,VA42608,,2/12/24
KH0485,UR249,Ethnologisches Museum,Berlin,Germany,VA42578i,Appended an “i” to correct accession number following confirmation with Ethnologisches Museum online database.,2/12/24
KH0486,UR250,Ethnologisches Museum,Berlin,Germany,VA47112,,2/12/24
KH0487,UR251,GRASSI Museum für Völkerkunde,Leipzig,Germany,SAM 5555(d),,2/12/24
KH0488,UR252,GRASSI Museum für Völkerkunde,Leipzig,Germany,SAM 12402,,2/12/24
KH0489,UR253,GRASSI Museum für Völkerkunde,Leipzig,Germany,SAM 12405,,2/12/24
KH0490,UR254,GRASSI Museum für Völkerkunde,Leipzig,Germany,SAM 12408,,2/12/24
KH0491,UR255,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,9228-13,,2/12/24
KH0492,UR256,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,9228-13,,2/12/24
KH0493,UR257,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,9228-13,,2/12/24
KH0494,UR258,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,9228-13,,2/12/24
KH0495,UR259,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,9228-13A,,2/12/24
KH0496,UR260,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,9228-13B,,2/12/24
KH0497,UR261,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,9228-13C,,2/12/24
KH0498,UR262,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,12009-13,,2/12/24
KH0499,UR263,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,12704-2014,,2/12/24
KH0500,UR264,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,12703-2014,,2/12/24
KH0501,UR265,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,12703-2014,,2/12/24
KH0502,UR266,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,13829,,2/12/24
KH0503,UR267A,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,13092,,2/12/24
KH0504,UR267B,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,13092,,2/12/24
KH0505,UR268,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,13835,,2/12/24
KH0506,UR269,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,13828,,2/12/24
KH0507,UR270,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,13830,,2/12/24
KH0508,UR271,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,13842,,2/12/24
KH0509,UR272,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,13839,,2/12/24
KH0510,UR273A,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,13831-2014,,2/12/24
KH0511,UR273B,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,13831-2014,,2/12/24
KH0512,UR274A,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,13832-2014,,2/12/24
KH0513,UR274B,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,13832-2014,,2/12/24
KH0514,UR275,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,13836-2014,,2/12/24
KH0515,UR276,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,13837-2014,,2/12/24
KH0516,UR277,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,13834-2014,,2/12/24
KH0517,UR278,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,13833-2014,,2/12/24
KH0518,UR279,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,13838-2014,,2/12/24
KH0519,UR280,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,16474-2014,,2/12/24
KH0520,UR282,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,35268A,,2/12/24
KH0521,UR283,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,35268B,,2/12/24
KH0522,UR284,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,35269,,2/12/24
KH0523,UR285,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,36212,,2/12/24
KH0524,UR286,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,36213,,2/12/24
KH0525,UR287,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,36223A,,2/12/24
KH0526,UR288,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,36223B,,2/12/24
KH0527,UR289,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,36225,,2/12/24
KH0528,UR290,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,36224,,2/12/24
KH0529,UR291A,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,36268,,2/12/24
KH0530,UR292A,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,36226,,2/12/24
KH0531,UR293,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,36216,,2/12/24
KH0532,UR294,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,36217,,2/12/24
KH0533,HP001,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1385A/
RN 43366",,2/12/24
KH0534,HP002,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1385B/
RN 43366",,2/12/24
KH0535,HP003,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1386/
RN 43367",,2/12/24
KH0536,HP004,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1389/
RN 43370",Corrected accession number to MSP 1389/RN 43370 from MSP 1389/RN 43367,2/12/24
KH0537,HP005,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1391/
RN 43372",,2/12/24
KH0538,HP006,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1392/
RN 43373",,2/12/24
KH0539,HP007,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1393/
RN 43374",,2/12/24
KH0540,HP008,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1394/
RN 43375",,2/12/24
KH0541,HP009,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1395/
RN 43376",,2/12/24
KH0542,HP010,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1396/
RN 43377",,2/12/24
KH0543,HP011,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1397/
RN 43378",,2/12/24
KH0544,HP012,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1400/
RN 43381",,2/12/24
KH0545,HP013,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1403/
RN 43384",,2/12/24
KH0546,HP014,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1404/
RN 43385",,2/12/24
KH0547,HP015,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1405/
RN 43386",,2/12/24
KH0548,HP016,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1406/
RN 43387",,2/12/24
KH0549,HP017,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1409/
RN 43390",,2/12/24
KH0550,HP018,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1410/
RN 43391",,2/12/24
KH0551,HP019,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1412/
RN 43393",,2/12/24
KH0552,HP020,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1413/
RN 43394",,2/12/24
KH0553,HP021,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1414/
RN 43395",,2/12/24
KH0554,HP022,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1417/
RN 43398",,2/12/24
KH0555,HP023,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1418/
RN 43399",,2/12/24
KH0556,HP024,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1419/
RN 43400",,2/12/24
KH0557,HP025,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1420/
RN 43401",,2/12/24
KH0558,HP026,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1421/
RN 43402",,2/12/24
KH0559,HP027,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1422/
RN 43403",Corrected accession number to MSP 1422/RN 43403 from MSP 1422/RN 43404.,2/12/24
KH0560,HP028,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1423/
RN 43404",,2/12/24
KH0561,HP029,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1425A/
RN 43406",,2/12/24
KH0562,HP030,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1425B/
RN 43406",,2/12/24
KH0563,HP031,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1426/
RN 43407",,2/12/24
KH0564,HP032,Museo de Sitio de Pachacamac,"Pachacamac, Lima",Peru,"MSP 1429/
RN 43405",,2/12/24
KH0565,HP033,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 543,,2/12/24
KH0566,HP034,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 1721,,2/12/24
KH0567,HP037,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 4134,,2/12/24
KH0568,HP038,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 4202,Corrected accession number to MNAAHP 4202 from MNAAHP.,2/12/24
KH0569,HP039,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 4203,,2/12/24
KH0570,HP040,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 5691,,2/12/24
KH0571,HP042,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 5701,,2/12/24
KH0572,HP043,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 5704,,2/12/24
KH0573,HP044,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 5713,,2/12/24
KH0574,HP045,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 5719,,2/12/24
KH0575,HP046A,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 5720A,,2/12/24
KH0576,HP046B,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 5720B,,2/12/24
KH0577,HP047,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 5722,,2/12/24
KH0578,HP048,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 5723,,2/12/24
KH0579,HP049,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 5724,,2/12/24
KH0580,HP050,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 5725,,2/12/24
KH0581,HP051A,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 5726A,,2/12/24
KH0582,HP051B,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 5726B,,2/12/24
KH0583,HP052,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 6345,,2/12/24
KH0584,HP053,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 25086,,2/12/24
KH0585,HP054,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 25577,,2/12/24
KH0586,HP055,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 29934,,2/12/24
KH0587,HP056,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 29935,,2/12/24
KH0588,HP057,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,MNAAHP 30564,Corrected accession number to MNAAHP 30564 from MNAAHP.,2/12/24
KH0589,QU001,Dallas Museum of Art,"Dallas, TX",USA,B397/T41299.22,The “B###” component of the Dallas Museum of Art khipu accession numbers is missing from  all QU khipus in the OKR. This has been rectified.,2/12/24
KH0590,QU002,Dallas Museum of Art,"Dallas, TX",USA,B376/T41299.23,,2/12/24
KH0591,QU003,Dallas Museum of Art,"Dallas, TX",USA,B388/T41299.24,,2/12/24
KH0592,QU004,Dallas Museum of Art,"Dallas, TX",USA,B378/T41299.25,,2/12/24
KH0593,QU005,Dallas Museum of Art,"Dallas, TX",USA,B377/T41299.26,,2/12/24
KH0594,QU006,Dallas Museum of Art,"Dallas, TX",USA,B384/T41299.27,,2/12/24
KH0595,QU007,Dallas Museum of Art,"Dallas, TX",USA,B372/T41299.28,,2/12/24
KH0596,QU008,Dallas Museum of Art,"Dallas, TX",USA,B367/T41299.29,,2/12/24
